"variable","category","count","percentage"
"challenge_wellness_routine","Want a personal trainer but can't afford, Can't afford to spend on gym/classes subscription, Lack of motivation / time",2,0.82
"challenge_wellness_routine","Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner",3,1.23
"challenge_wellness_routine","Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Can't afford to spend on gym/classes subscription",1,0.41
"challenge_wellness_routine","Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Can't afford to spend on gym/classes subscription, I follow a regular wellness/fitness routine",2,0.82
"challenge_wellness_routine","Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Can't afford to spend on gym/classes subscription, Lack of motivation / time",3,1.23
"challenge_wellness_routine","Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Can't afford to spend on gym/classes subscription, Lack of motivation / time, I follow a regular wellness/fitness routine",3,1.23
"challenge_wellness_routine","Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, I follow a regular wellness/fitness routine",1,0.41
"challenge_wellness_routine","Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Lack of motivation / time",1,0.41
"challenge_wellness_routine","Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Lack of motivation / time, I follow a regular wellness/fitness routine",2,0.82
"challenge_wellness_routine","Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, I follow a regular wellness/fitness routine",1,0.41
"challenge_wellness_routine","Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, Lack of motivation / time",2,0.82
"challenge_wellness_routine","Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, Lack of motivation / time, I follow a regular wellness/fitness routine",1,0.41
"challenge_wellness_routine","Want a personal trainer but can't afford, I follow a regular wellness/fitness routine",1,0.41
"challenge_wellness_routine","Want a personal trainer but can't afford, Lack of motivation / time",4,1.64
"challenge_wellness_routine","Want a personal trainer but can't afford, Lack of motivation / time, I follow a regular wellness/fitness routine",1,0.41
"challenge_wellness_routine","Want a personal trainer but can't afford, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription",1,0.41
"challenge_wellness_routine","Want a personal trainer but can't afford, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription, Lack of motivation / time",1,0.41
"challenge_wellness_routine","Want a personal trainer but can't afford, Unavailability of a good gym/classes nearby, I follow a regular wellness/fitness routine",1,0.41
"challenge_wellness_routine","Want a personal trainer but can't afford, Unavailability of a good gym/classes nearby, I follow a regular wellness/fitness routine, Lack of yoga center...so prefer walking  atleast 10000 steps .",1,0.41
"challenge_wellness_routine","Want a personal trainer but can't afford, Unavailability of a good gym/classes nearby, Lack of motivation / time",5,2.05
"challenge_wellness_routine","Want a personal trainer but can't afford, Unavailability of a good gym/classes nearby, Lack of motivation / time, I follow a regular wellness/fitness routine",1,0.41
"frequency_wellness_routine","4 to 5 days a week",92,37.7
"frequency_wellness_routine","Daily",46,18.85
"frequency_wellness_routine","Occasionally / Rarely",45,18.44
"frequency_wellness_routine","Once/twice a week (e.g. weekends)",61,25
"duration_wellness_routine","15-30",71,29.1
"duration_wellness_routine","31-45",65,26.64
"duration_wellness_routine","46-60",49,20.08
"duration_wellness_routine","Less than 15",26,10.66
"duration_wellness_routine","More than 60",33,13.52
"purpose_wellness_routine","Body building",40,16.39
"purpose_wellness_routine","General fitness/strength/flexibility/stamina",126,51.64
"purpose_wellness_routine","Stress/anxiety reduction and/or attain mindfulness",37,15.16
"purpose_wellness_routine","Weight loss/gain",41,16.8
"location_wellness_routine","Garden",2,0.82
"location_wellness_routine","Gym / Studio",68,27.87
"location_wellness_routine","Home - with equipment",36,14.75
"location_wellness_routine","Home - without equipment",104,42.62
"location_wellness_routine","Hybrid - Gym and at Home",23,9.43
"location_wellness_routine","Other side on the road",1,0.41
"location_wellness_routine","Outdoor",1,0.41
"location_wellness_routine","Outdoors",1,0.41
"location_wellness_routine","park",1,0.41
"location_wellness_routine","Park",1,0.41
"location_wellness_routine","Parks",1,0.41
"location_wellness_routine","Sports",1,0.41
"location_wellness_routine","Sports Club",1,0.41
"location_wellness_routine","walk swimming",1,0.41
"location_wellness_routine","Walking outdoor",1,0.41
"location_wellness_routine","Walking track",1,0.41
"challenge_nutrition_routine","Can't cook at home",5,2.05
"challenge_nutrition_routine","Can't cook at home, Find it too difficult to follow a routine",3,1.23
"challenge_nutrition_routine","Can't cook at home, Find it too difficult to follow a routine, I follow a balanced diet routine",4,1.64
"challenge_nutrition_routine","Can't cook at home, I follow a balanced diet routine",1,0.41
"challenge_nutrition_routine","Can't cook at home, My schedule doesn't permit regularity in my eating habits",1,0.41
"challenge_nutrition_routine","Can't cook at home, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",2,0.82
